time,eeg
0.000000000000000000e+00,1.720558744855545108e-01
3.906250000000000000e-03,-3.707268758696458111e-02
7.812500000000000000e-03,3.383254314086673875e-01
1.171875000000000000e-02,1.354358652855387479e+00
1.562500000000000000e-02,5.507996742521713562e-01
1.953125000000000000e-02,5.919372210566860026e-01
2.343750000000000000e-02,1.221583921742613876e+00
2.734375000000000000e-02,7.761443484137171556e-01
3.125000000000000000e-02,2.547751020456378024e-01
3.515625000000000000e-02,3.324941807920838155e-01
3.906250000000000000e-02,9.569209987996178668e-02
4.296875000000000000e-02,-3.864196588953583977e-01
4.687500000000000000e-02,-3.192542401193825818e-01
5.078125000000000000e-02,1.010879145796353268e-01
5.468750000000000000e-02,2.901778765259894755e-01
5.859375000000000000e-02,2.730662902706207928e-01
6.250000000000000000e-02,-4.162858959454260876e-01
6.640625000000000000e-02,-3.824544864280284284e-01
7.031250000000000000e-02,-8.387245243197838374e-01
7.421875000000000000e-02,-2.406806746275950148e-01
7.812500000000000000e-02,-3.597551046343299141e-01
8.203125000000000000e-02,-1.040734145939112176e+00
8.593750000000000000e-02,-1.603328913696023816e+00
8.984375000000000000e-02,-1.385814568476974040e-01
9.375000000000000000e-02,-9.913393612026749624e-01
9.765625000000000000e-02,-4.683839955885719109e-01
1.015625000000000000e-01,5.502397816413680254e-02
1.054687500000000000e-01,4.265618762792934282e-01
1.093750000000000000e-01,1.003673137116386282e+00
1.132812500000000000e-01,1.188327082565131754e+00
1.171875000000000000e-01,1.024031580989580581e+00
1.210937500000000000e-01,3.605890040381830586e-01
1.250000000000000000e-01,1.012944327815551881e+00
1.289062500000000000e-01,6.679879550397298527e-01
1.328125000000000000e-01,3.735564199016255804e-01
1.367187500000000000e-01,3.543096384324826986e-01
1.406250000000000000e-01,1.133526167929069794e-01
1.445312500000000000e-01,-1.264134119910496623e-01
1.484375000000000000e-01,-9.185825028746863463e-02
1.523437500000000000e-01,-4.240109421133418655e-02
1.562500000000000000e-01,-1.898070426869525873e-01
1.601562500000000000e-01,8.795369151126575247e-02
1.640625000000000000e-01,-1.045046872981134412e+00
1.679687500000000000e-01,-5.364148320299167993e-01
1.718750000000000000e-01,-8.496335447789944428e-01
1.757812500000000000e-01,-2.421925217475804359e-01
1.796875000000000000e-01,-8.592614554409927496e-01
1.835937500000000000e-01,-1.054526089402796796e+00
1.875000000000000000e-01,-1.265714104787927896e+00
